Date,Open,High,Low,Close,Volume
2025-05-30,459.72,461.68,455.54,460.36,34760500.0
2025-05-29,461.51,461.72,455.3105,458.68,13905997.0
2025-05-28,461.22,462.52,456.94,457.36,16766505.0
2025-05-27,456.48,460.95,456.115,460.69,20871931.0
2025-05-23,449.98,453.69,448.91,450.18,16883509.0
2025-05-22,454.74,460.245,453.91,454.86,17983198.0
2025-05-21,454.94,457.78,451.814,452.57,18399615.0
2025-05-20,455.59,458.34,454.32,458.17,15431900.0
2025-05-19,450.88,459.59,450.8,458.87,21316500.0
2025-05-16,452.05,454.36,448.73,454.27,23803400.0
2025-05-15,450.77,456.19,450.43,453.13,21980800.0
2025-05-14,448.14,453.9,448.14,452.94,19870100.0
2025-05-13,447.99,450.6733,445.36,449.14,22884853.0
2025-05-12,445.9,449.3,439.78,449.26,22735620.0
2025-05-09,440.0,440.74,435.88,438.73,15313100.0
2025-05-08,437.93,443.67,435.66,438.17,23408400.0
2025-05-07,433.84,438.12,431.1103,433.35,23259586.0
2025-05-06,431.79,437.73,431.24,433.31,14973689.0
2025-05-05,432.87,439.5,432.11,436.17,20116100.0
2025-05-02,431.74,439.44,429.99,435.28,30741600.0
2025-05-01,431.11,436.99,424.9,425.4,58862100.0
2025-04-30,390.305,396.65,384.44,395.26,32157276.0
2025-04-29,391.3,395.0,390.38,394.04,14268415.0
2025-04-28,391.66,392.74,386.638,391.16,16524162.0
2025-04-25,387.0,392.16,384.6,391.85,18963600.0
2025-04-24,375.7,388.45,375.19,387.3,22191100.0
2025-04-23,376.3,380.39,373.03,374.39,20501048.0
2025-04-22,363.42,367.76,359.8602,366.82,17975458.0
2025-04-21,363.12,364.48,355.6738,359.12,19637770.0
2025-04-17,373.745,374.3215,366.89,367.78,21120192.0
2025-04-16,380.495,381.61,368.2,371.61,21585114.0
2025-04-15,388.505,391.89,384.21,385.73,17074637.0
2025-04-14,393.22,394.64,384.21,387.81,18941747.0
2025-04-11,380.64,390.05,378.89,388.45,23828700.0
2025-04-10,382.37,383.9,367.82,381.35,37488366.0
2025-04-09,353.38,393.225,353.31,390.49,49070507.0
2025-04-08,368.255,373.65,350.25,354.56,34995691.0
2025-04-07,350.36,370.9999,344.79,357.86,49927100.0
2025-04-04,364.13,374.59,359.48,359.84,49138700.0
2025-04-03,374.79,377.48,369.35,373.11,30147000.0
2025-04-02,377.965,385.08,376.62,382.14,15524858.0
2025-04-01,374.65,382.85,373.23,382.19,19661900.0
2025-03-31,372.54,377.07,367.24,375.39,35158100.0
2025-03-28,388.08,389.13,376.93,378.8,21613100.0
2025-03-27,390.13,392.24,387.4,390.58,13434223.0
2025-03-26,395.01,395.31,388.57,389.97,16097312.0
2025-03-25,393.915,396.36,392.64,395.16,14435115.0
2025-03-24,395.4,395.4,389.81,393.08,20132071.0
2025-03-21,383.22,391.74,382.8,391.26,39571500.0
2025-03-20,385.735,391.785,383.29,386.84,18380423.0
2025-03-19,385.53,389.68,384.0,387.82,19165300.0
2025-03-18,387.28,387.37,381.14,383.52,17266696.0
2025-03-17,386.7,392.71,385.57,388.7,22463400.0
2025-03-14,379.78,390.23,379.51,388.56,19929300.0
2025-03-13,383.155,385.3099,377.45,378.77,20280230.0
2025-03-12,382.95,385.22,378.95,383.27,24213900.0
2025-03-11,379.0,385.96,377.01,380.45,28107218.0
2025-03-10,385.84,386.4,377.23,380.16,32680923.0
2025-03-07,392.32,394.8,385.54,393.31,22017200.0
2025-03-06,394.28,402.15,392.6777,396.89,22340526.0
2025-03-05,389.34,401.67,388.81,401.02,23273389.0
2025-03-04,383.35,392.58,381.0,388.61,29059684.0
